simulation_number,year,DoY,Photosynthesis,Electron_transport,NPQ_energy,LST
#,,,umol m-2 s-1,umol m-2 s-1,W m-2,K
1,0,0,1.773938e+01,1.282850e+02,7.956457e+00,2.850726e+02
2,0,0,2.514025e+01,1.755632e+02,3.570148e+01,2.857618e+02
3,0,0,-8.841601e+00,1.412202e+01,7.324457e-06,2.921865e+02
4,0,0,7.575758e+00,1.451898e+02,2.227335e-01,3.026799e+02
5,0,0,1.887334e+01,1.381395e+02,3.275242e+01,2.906678e+02
6,0,0,6.231307e+00,4.763193e+01,7.381943e+00,2.949810e+02
7,0,0,1.516077e+01,1.490109e+02,4.431416e+01,2.925219e+02
8,0,0,5.965685e+00,6.008084e+01,3.079723e+01,3.063169e+02
9,0,0,5.697208e+00,4.534208e+01,2.131569e+00,2.872682e+02
10,0,0,1.725036e+00,1.118788e+01,3.631056e+01,2.896887e+02
11,0,0,7.735586e+00,6.625465e+01,4.259873e-01,2.883856e+02
12,0,0,1.732487e+01,1.550536e+02,2.361893e+00,2.901472e+02
13,0,0,3.090422e+01,2.723971e+02,1.098267e+01,2.959771e+02
14,0,0,1.817174e+00,1.488340e+01,2.319056e-01,2.855862e+02
15,0,0,1.815510e+01,1.479030e+02,2.791172e+01,2.900548e+02
16,0,0,2.131261e+01,1.870609e+02,2.171057e+00,3.025647e+02
17,0,0,9.474768e+00,6.477366e+01,2.757758e+00,2.789489e+02
18,0,0,3.544483e+01,2.954943e+02,2.181302e+01,2.918816e+02
19,0,0,1.309166e+01,1.247101e+02,9.678795e+00,2.981755e+02
20,0,0,2.574263e+00,4.073184e+01,4.833655e-01,2.917898e+02
21,0,0,1.511557e+01,1.017065e+02,7.090720e+00,2.837705e+02
22,0,0,-3.592743e-01,2.839465e+00,5.651067e-06,2.760414e+02
23,0,0,3.930896e+01,2.815693e+02,3.791373e+01,2.870684e+02
24,0,0,2.922490e+01,2.484976e+02,1.266402e+01,2.988316e+02
25,0,0,1.384358e+01,1.419083e+02,5.599024e+01,3.049742e+02
26,0,0,1.801804e+01,2.759323e+02,2.198294e+01,3.070483e+02
27,0,0,3.780329e+01,2.874782e+02,1.984842e+01,2.873808e+02
28,0,0,2.323703e+01,2.025205e+02,4.905410e+00,2.913022e+02
29,0,0,-4.139064e-01,3.826537e+01,6.245200e-02,2.988300e+02
30,0,0,1.298833e+01,8.262644e+01,1.250169e+01,2.824675e+02
31,0,0,1.522424e+01,1.055325e+02,1.686510e+01,2.830794e+02
32,0,0,2.761833e+01,2.406777e+02,1.778503e+01,3.006709e+02
33,0,0,1.025669e+01,1.547132e+02,1.453430e-01,2.985441e+02
34,0,0,8.765383e+00,1.296904e+02,3.030155e+01,3.028031e+02
35,0,0,7.679397e-01,6.092573e+00,7.086351e+00,2.975218e+02
36,0,0,5.994473e+00,3.850192e+01,3.131866e+01,2.860628e+02
37,0,0,3.891198e+00,2.874994e+01,2.472531e+01,2.881155e+02
38,0,0,2.480691e+01,1.998681e+02,2.815910e+01,2.946751e+02
39,0,0,-3.293901e-01,5.029828e+00,1.302741e-05,2.810572e+02
40,0,0,-1.582631e+00,1.026266e+01,1.323828e-05,2.921237e+02
41,0,0,1.183419e+01,1.308009e+02,1.906884e+01,3.040080e+02
42,0,0,8.565041e-01,4.421692e+01,1.886244e+00,2.994793e+02
43,0,0,7.439905e+00,5.008380e+01,4.399996e-01,2.814603e+02
44,0,0,1.377227e+01,1.325020e+02,3.485918e-01,2.937603e+02
45,0,0,2.023936e+01,2.334916e+02,3.261577e+01,3.034924e+02
46,0,0,1.357268e+01,1.129629e+02,5.108712e-01,2.903061e+02
47,0,0,1.812035e+01,1.313638e+02,1.945182e+01,2.886252e+02
48,0,0,8.106194e+00,5.964709e+01,3.080367e+01,2.891327e+02
49,0,0,6.262765e+00,8.297714e+01,4.296197e-01,2.993943e+02
50,0,0,1.643029e+01,1.700352e+02,8.403484e+00,3.073725e+02
51,0,0,1.312220e+01,1.376167e+02,5.978805e+00,3.014775e+02
52,0,0,1.024162e+00,5.204592e+01,1.211791e-02,2.865580e+02
53,0,0,2.764106e+00,2.242672e+01,8.426479e-03,2.858710e+02
54,0,0,3.643637e+00,3.557750e+01,5.622298e-02,2.955147e+02
55,0,0,7.082706e+00,5.480271e+01,2.551353e+01,2.943573e+02
56,0,0,8.377903e+00,7.953712e+01,2.817382e+01,3.040597e+02
57,0,0,9.066968e+00,9.193714e+01,2.766056e+01,3.054805e+02
58,0,0,6.724496e+00,5.415856e+01,2.144023e+00,2.953157e+02
59,0,0,2.749937e+00,2.237729e+01,5.569434e+00,2.972299e+02
60,0,0,1.137260e+01,1.018720e+02,2.511188e+01,2.991985e+02
61,0,0,-8.597431e-01,1.250144e+01,9.912235e-06,2.898587e+02
62,0,0,9.118780e+00,8.211492e+01,4.522518e-01,2.904853e+02
63,0,0,1.158625e+01,1.090048e+02,1.340242e-01,2.923668e+02
64,0,0,4.003575e+00,3.045924e+01,2.158772e+01,2.927532e+02
65,0,0,-6.023996e-03,5.408696e+01,9.279091e-02,2.940265e+02
66,0,0,1.214104e+01,9.473481e+01,1.542447e+01,2.915562e+02
67,0,0,1.493851e+01,9.636802e+01,3.825646e+01,2.849659e+02
68,0,0,2.296747e+01,1.826318e+02,1.546934e+01,2.943981e+02
69,0,0,-4.393809e+00,1.444269e+01,1.438614e-05,2.903117e+02
70,0,0,-1.851663e+00,1.230283e+01,1.216408e-03,2.940596e+02
71,0,0,8.565495e+00,6.244646e+01,3.349125e+01,2.901044e+02
72,0,0,1.466403e+01,1.313781e+02,4.482527e+00,2.912487e+02
73,0,0,3.454551e+00,4.050407e+01,1.418156e+01,3.099376e+02
74,0,0,1.754240e+01,1.826299e+02,2.777114e+01,3.069456e+02
75,0,0,2.058812e+01,1.601293e+02,6.298601e+00,2.871013e+02
76,0,0,2.006533e+00,3.191631e+01,1.834289e-02,3.000545e+02
77,0,0,1.829624e+01,1.474876e+02,7.766812e-01,2.894965e+02
78,0,0,2.265142e+01,1.828865e+02,1.721642e+01,2.969813e+02
79,0,0,1.038720e+01,6.587329e+01,2.318846e+01,2.855250e+02
80,0,0,1.977286e+01,2.429875e+02,9.669137e+00,3.010978e+02
81,0,0,2.594727e+01,2.828191e+02,9.790770e+00,2.965322e+02
82,0,0,1.079220e+01,1.664564e+02,2.694994e+01,3.067827e+02
83,0,0,1.741932e+01,1.780116e+02,2.793020e+01,3.067705e+02
84,0,0,-5.963219e-01,7.583078e+01,3.000104e-03,2.948943e+02
85,0,0,2.303527e+01,1.719911e+02,1.719511e+00,2.935768e+02
86,0,0,2.516538e+00,1.687778e+01,2.296494e+01,2.870186e+02
87,0,0,1.877166e+00,8.992846e+01,3.499085e-02,3.084388e+02
88,0,0,1.591729e+01,1.102093e+02,1.003716e+01,2.847699e+02
89,0,0,2.949779e+01,2.900897e+02,1.190384e+01,3.019313e+02
90,0,0,1.195662e+01,7.645738e+01,1.301198e+01,2.825416e+02
91,0,0,7.478674e-01,6.663144e+00,2.215611e+01,3.039579e+02
92,0,0,1.845973e+00,1.272643e+01,2.621866e+00,2.872894e+02
93,0,0,2.164806e+01,2.309574e+02,1.117771e+01,3.006030e+02
94,0,0,1.230148e+00,2.411279e+01,4.650746e-04,2.899809e+02
95,0,0,4.003217e+00,3.233462e+01,1.193157e+01,2.986296e+02
96,0,0,1.063129e+01,8.601567e+01,4.679344e+01,2.928303e+02
97,0,0,5.269807e+00,8.981727e+01,8.063652e-01,3.019443e+02
98,0,0,1.030041e+01,7.605207e+01,1.053245e+00,2.812954e+02
99,0,0,1.444061e+00,2.737018e+01,1.333935e-02,2.920793e+02
100,0,0,6.955752e+00,7.173140e+01,1.216377e+01,3.005358e+02
